genotype,group,rust_pct_pred,ram_pct_pred
9764,winter,2.605365018746303,2.801037287937367
41509,spring_2024,0.0805024496085628,20.74105124766888
9706,winter,1.319557844491898,1.234455470418289
9632,winter,3.189340887035434,0.7478296220526136
9667,winter,1.2743754178509668,0.053783722207074794
9768,winter,0.8001188976238222,1.4769036929247041
742015,spring_2025,0.3365746017119717,0.5814883969058415
9757,winter,0.7461599122265652,2.826064595762189
742029,spring_2025,0.0015567836849069822,2.0495057211800423
9700,winter,3.4309148359241357,2.469043581756567
9817,winter,1.3307606828126994,0.3149543682392063
694054,spring_2025,0.22253150814619677,1.3786663030699058
9691,winter,1.350885734616681,0.6112130631811543
9651,winter,0.7748454774477079,0.17284942935500558
41575,spring_2024,0.49140114297837356,37.1945317368763
742036,spring_2025,0.11860170598838105,1.4734754320251409
9768,winter,1.2894341881400362,2.4448533205952687
9822,winter,4.839718812086125,0.187542240126199
742062,spring_2025,0.18204320506840194,4.056693771862081
9620,winter,4.193117596965239,0.1214484787489355
9839,winter,1.9984049822794194,2.216809898375531
742001,spring_2025,0.09848310972938011,0.4719677843386817
9623,winter,4.910720420924503,0.2915451895043732
9759,winter,0.9776280619530592,3.5990896284319605
9707,winter,5.42374944216804,0.48967503752687735
9657,winter,3.3634809618878956,0.5164137563398439
9752,winter,0.53537754126734,8.233447857198211
9827,winter,6.912635647567542,0.5911853642390219
9778,winter,3.4345186820830755,4.317362872013879
9632,winter,2.97126809855776,0.6784313172080946
41549,spring_2024,2.6704655860382935,17.90176735610576
41525,spring_2024,0.009620384219821199,22.845434784102544
9708,winter,1.1876551507333413,0.11685763531311993
9802,winter,2.913903405899157,2.2656297838466717
41612,spring_2024,0.23283965004042514,32.89430299416885
9711,winter,2.2185084364196044,1.4885772371730814
9781,winter,5.972944413638694,0.25841956037287744
9829,winter,0.7625439071690308,1.7263387111157844
9644,winter,4.4315933378447205,0.275269737789683
742058,spring_2025,2.10921229487615,0.6207258171720603
41477,spring_2024,0.34203508008032385,30.39815289598295
9720,winter,1.542337907128364,2.454012811216377
694053,spring_2025,0.005795180221049905,2.815733189902623
41563,spring_2024,3.001801847852479,10.509927201939009
9791,winter,4.292213542822827,0.5138318678571179
9778,winter,0.9349519840550824,7.639278215362971
9791,winter,2.934376309090323,0.5548528985273741
41619,spring_2024,0.5500727118490017,34.66120822855758
9620,winter,4.838364824071014,0.293202516069322
9797,winter,1.5967925610469063,1.241580334209819
9759,winter,1.4192670987202747,7.513672208597459
9688,winter,3.7487789430745946,0.10976094120677997
694124,spring_2025,0.034872865066725246,1.7664341808995552
41490,spring_2024,0.19671255540682697,18.33856054610532
694085,spring_2025,0.15252450485611108,1.3216921248009332
9729,winter,1.6390776026615632,0.8364404388834245
9636,winter,1.6577228939031488,0.07499838365552466
9671,winter,3.38985354714182,0.05514798690429494
742029,spring_2025,0.08478396187941359,0.2972804739316148
9696,winter,4.381623916432645,0.30405902934709195
742038,spring_2025,0.40729035936816155,1.7285678980641972
9719,winter,2.844371426132969,0.9264316804642826
41504,spring_2024,0.24071026972341575,25.09142920269084
41517,spring_2024,0.27396105538228105,29.652701677484615
9733,winter,4.062916121098532,0.6596821598756938
9689,winter,2.9072356865119677,0.2229406142251625
694057,spring_2025,0.1473243988214048,2.0292747837658016
9660,winter,10.7343331589754,0.023811568518764297
41519,spring_2024,0.06347504725364629,17.257031624679097
9656,winter,2.677705146172467,0.742990287836765
9750,winter,1.4815289650413463,6.588637212055852
9628,winter,1.7981490204066044,0.20686670146270672
9750,winter,5.3448991568972675,3.271734825820796
742075,spring_2025,0.0,1.4952159818734507
694082,spring_2025,0.08817014687856176,0.5451495666759855
694107,spring_2025,0.3229697732894828,0.4515463833498384
41490,spring_2024,1.8079921615663352,2.777238134655506
9620,winter,5.665844808770353,0.20800363151332746
9822,winter,3.460553332107329,0.46449107892746166
9758,winter,0.4757548032936871,5.041296419305919
9744,winter,3.3842346888939536,1.007391007065412
742011,spring_2025,0.3607339580211948,0.3711423789815634
41522,spring_2024,0.19401125265265387,5.537921199429567
694072,spring_2025,0.2846871179079147,0.5155391718524737
9735,winter,2.904962873011765,0.16921147452869628
41434,spring_2024,0.8023845812513263,12.67551559817105
694057,spring_2025,0.166317714016101,0.24711745451328476
41442,spring_2024,3.0893953172470536,14.54579849074321
9636,winter,1.7528206620484326,0.5104427324137749
9639,winter,5.9941842303329915,0.026625910155373717
41576,spring_2024,2.2443821929366075,11.420411055711185
41476,spring_2024,5.792291220556745,17.56207572098957
9670,winter,2.84115119722991,0.1347809612714512
41454,spring_2024,7.778830365037262,3.4523809523809526
9688,winter,4.866006849019044,0.5188881911623757
742065,spring_2025,0.1339677445087302,0.8080296183678929
9649,winter,0.8320181519412403,0.3473379157449561
9692,winter,1.788612538540596,0.2387667009249743
694056,spring_2025,0.07533331438155613,1.0461381016004776
41532,spring_2024,0.07824192968564601,16.6272324208241
9630,winter,3.1936976110511566,0.6315846855832598
742069,spring_2025,0.5510419859553174,1.7957080717318905
742051,spring_2025,0.20954585290218194,0.6982989146311319
9843,winter,0.646846026688388,0.20902709566134017
9699,winter,3.8304093567251467,0.25715999400209927
9723,winter,3.111303040380272,0.7729005678549645
41462,spring_2024,1.185068250437432,11.421529935806502
694068,spring_2025,0.04978438212431675,2.613165050677068
694077,spring_2025,0.34979876343068717,2.641389785262426
694094,spring_2025,0.14098488009092086,0.7444864841535872
41555,spring_2024,2.688467279744456,11.595368658782764
41535,spring_2024,1.3021264148726766,15.100926185663901
9631,winter,1.5197549720125954,0.28601612500358287
694082,spring_2025,0.1871739797483891,0.7311620567220445
742059,spring_2025,0.12641272013499488,0.05160886280740617
694058,spring_2025,0.18769923382361164,1.4512611151501593
9768,winter,0.705638524141998,3.648136856659481
9810,winter,3.239794945549436,0.7285498190428976
742050,spring_2025,0.011426057208733601,0.45653067384746043
9790,winter,3.5043794504390373,1.0197785155738062
694109,spring_2025,0.29515049663588666,3.7336537824439664
9741,winter,1.2420448106011073,6.156553768362321
742081,spring_2025,0.058576240191158556,1.2954635559349517
41448,spring_2024,1.1432298241184886,32.22839350332408
9625,winter,6.399496222672788,0.41934649331271695
9808,winter,0.5813583495861612,17.195928619826077
41598,spring_2024,3.800911106516764,5.275934098054452
9742,winter,4.6227710848226335,3.791421470892694
742040,spring_2025,0.07841423545099416,3.55069459901533
9647,winter,1.9714881865905298,0.16184777440834414
9834,winter,8.849317248181201,0.05089225616863396
9816,winter,3.2633545099884675,0.5726992537335112
9797,winter,1.8307250190430027,3.576045056898183
742021,spring_2025,0.1548239493913052,0.8372326944790963
694051,spring_2025,1.9855595667870036,4.606542042415119
694094,spring_2025,0.10755400472256672,2.103784359475613
41447,spring_2024,1.403277453381051,38.48550861129992
9757,winter,1.2120504354534485,15.71631296026952
9661,winter,4.680996850306681,0.1536166215394817
9706,winter,1.6530491514754706,0.49684105928198047
41452,spring_2024,0.021611148371711752,37.29264475743349
694084,spring_2025,0.16930408255826235,1.4895652768199412
9781,winter,8.81770879979661,0.44838255814961303
9840,winter,1.8192939140553321,1.5665769078716725
41588,spring_2024,0.03131904669970182,39.26550400068645
9701,winter,1.8345622315256314,0.33080283302939056
41428,spring_2024,0.0970248784108865,38.30203382626078
9728,winter,1.861874250647827,1.3461910348472934
694115,spring_2025,0.17588743204349216,3.136901473965753
9735,winter,3.245042368275298,0.1791010782299016
9786,winter,1.0173485300188048,23.840469201486034
9728,winter,1.1387398980514403,0.6345438107018254
9693,winter,2.388039030982902,0.12130025274865656
9702,winter,2.20301321135935,0.8402137830003988
694047,spring_2025,0.10063163253941738,1.360316929979476
9734,winter,3.8529102729680624,0.24270516384650745
9839,winter,0.31971757452203964,2.1773612112472964
9843,winter,0.3940053871282022,0.3189652702160582
41489,spring_2024,0.9342846049310815,45.374022696387286
694066,spring_2025,0.06749964793349099,6.929154506208511
694095,spring_2025,0.169921251909935,3.679164497875984
9686,winter,0.8487535578468113,0.188688923918574
9684,winter,1.8327445741507822,0.45857466482567344
742007,spring_2025,0.18710914754040187,1.7585033849012597
9833,winter,0.8903502556724702,3.5097621489457262
742050,spring_2025,0.007902464620665893,0.4596073423379284
9773,winter,1.314165383151507,5.7041429379395225
41604,spring_2024,0.6401272679065187,21.554486572478314
9705,winter,2.275887099025657,1.1611156090343113
41472,spring_2024,3.590618515897669,14.306103601712703
9803,winter,1.5887254725565088,2.5374369624782163
9649,winter,2.4325141170629108,0.9534221734263061
694088,spring_2025,0.5710517454259737,1.443063194522393
694072,spring_2025,0.3563395024609697,0.8128994899890871
9793,winter,2.8336444647951815,3.3187076387386347
9628,winter,2.3515173451267377,0.5562656230559545
694120,spring_2025,0.13712707218831677,2.398897696595614
9813,winter,2.2742009117314295,6.335971046903223
742061,spring_2025,0.29021619108502356,0.5984119834950892
41601,spring_2024,2.589573603164661,9.676849800527163
742052,spring_2025,0.27701177717239395,1.3220637377399342
694111,spring_2025,0.13802731989021277,1.5320503667507523
9642,winter,2.22506222243912,0.23257161680737887
9789,winter,3.5355952576080423,0.9751406873190187
41457,spring_2024,0.7466866370467332,55.32435085776138
694087,spring_2025,0.18803195297955932,0.5164652483329286
41449,spring_2024,0.6081683609773497,17.077462695440225
9661,winter,4.30230037122744,2.3696168702739295
41602,spring_2024,2.4024296511379646,28.267379051197743
694076,spring_2025,0.13415315818893236,0.33937554898985867
9813,winter,2.049465651615703,2.097385219073796
694110,spring_2025,0.08972813713673496,1.1453729744207848
9647,winter,3.913326797423991,0.6492858442770677
694090,spring_2025,0.5362690467971793,2.849417295395894
9832,winter,0.6141888447383674,3.842957603860416
9792,winter,3.9389776851910816,0.06185923385519482
742052,spring_2025,0.07002855608898295,2.1478017517513623
9740,winter,0.24364124310794188,22.390909794679033
9753,winter,1.9626682382223446,4.644762064484984
694122,spring_2025,0.08305402062343781,2.9769243971678776
9663,winter,6.741102868788914,1.605976316659599
9818,winter,6.707860804891225,0.21913314399651124
41438,spring_2024,1.9290410619029899,30.86211952047456
9764,winter,1.1355565726551033,4.219867110683228
742009,spring_2025,0.17268167551277908,0.5186706847829488
694065,spring_2025,0.45392646391284613,0.4872144045997882
9686,winter,1.073913089236663,0.0690402770030626
9708,winter,1.6559128371154967,0.4386197693549977
9624,winter,4.878492861656438,0.1306643532650023
742014,spring_2025,0.29260565334301963,0.7940712040722634
9801,winter,5.773238803358605,0.820381973745119
694064,spring_2025,0.12149309421052364,1.5402680981501533
694056,spring_2025,0.17252756863337496,2.319979010470913
742070,spring_2025,0.19407677677289137,0.15698654832296102
41539,spring_2024,2.3316612000771753,12.492443243938517
742067,spring_2025,0.13980532109038163,3.488891718282292
694089,spring_2025,0.0645647261379533,0.5898256752394275
9811,winter,11.756800159655244,0.2014400154666018
41457,spring_2024,0.11121246866404873,47.67453349356507
9703,winter,4.593952928677514,0.24305367344947584
694103,spring_2025,0.1198545493942944,2.1418075691195093
9822,winter,4.070685455464939,0.4891535986467119
9714,winter,1.6658611732012323,0.5255844861958557
742026,spring_2025,0.12327959243127251,1.4360118518939582
742035,spring_2025,0.270311727711213,0.7321936836364256
9806,winter,1.017988692821655,5.620010279253041
9786,winter,0.7981543795248291,21.95319669623738
9642,winter,2.075039451693873,0.37493277784004964
742069,spring_2025,0.057127981140534835,0.8182317805128502
694048,spring_2025,0.02367337575016535,3.669617296695734
41513,spring_2024,0.36351610694039743,25.16229327625401
694117,spring_2025,0.4040892365765462,0.6209056970478289
694122,spring_2025,0.0,8.961319685575353
9627,winter,3.594083985928858,0.25190027509657137
41595,spring_2024,2.8278960159069153,22.92469581297919
742075,spring_2025,0.5599684894636644,0.9820783824591348
742003,spring_2025,0.5110478160078542,0.5334458210922014
9844,winter,0.5983422078278531,0.6997512444997877
41488,spring_2024,0.7325556342146573,50.537104866262425
9714,winter,2.2763189885728177,0.212537482778183
41545,spring_2024,0.014034235949643646,15.313816894944262
9709,winter,1.727160766049446,0.04221769270897758
41539,spring_2024,1.6560884623206484,14.398802856874013
742040,spring_2025,0.1083400782409281,5.142148927559692
9724,winter,1.1518636313785702,2.036128910962445
9746,winter,1.202413064252661,2.2804304537558786
41605,spring_2024,0.07312538589162956,32.08997181913195
742009,spring_2025,0.0515912579721154,1.1362737185269587
742019,spring_2025,0.0875458417902907,1.0083016106692684
9814,winter,4.368823521119102,0.28537421884597647
694122,spring_2025,0.07710964068225555,1.0920570479529697
742044,spring_2025,0.3274318399080829,1.2000535880126342
9716,winter,3.529420918718017,0.23109303634463207
9698,winter,3.4508001590903414,0.1281561083581992
9843,winter,0.6266928467765093,0.3480764604077578
694114,spring_2025,0.6419378629078331,1.3747649863406426
9658,winter,2.051724846840179,0.08556195801786032
41606,spring_2024,1.9941599846841889,18.141819580436465
742063,spring_2025,0.1616805403410522,1.5526604064273872
9798,winter,0.4268980679081995,8.640091195663553
742022,spring_2025,0.10741818288026767,1.310761452125079
694071,spring_2025,0.08759175236059773,1.5836588826796067
9778,winter,4.355844627439827,1.6611794884178948
